member,party,chamber,state,district,bioguide_id,entity_group,giver,recipient_committee,recipient_committee_id,amount_usd,date,cycle,kind,fec_sub_id,source_url,record_id
Aaron Bean,R,House,FL,4,B001314,ARI PAC,ARI PAC,AARON BEAN FOR CONGRESS,C00816983,1000.00,2025-11-12,2026,PAC contribution,4022520261359193422,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8570
Aaron Bean,R,House,FL,4,B001314,ARI PAC,ARI PAC,AARON BEAN FOR CONGRESS,C00816983,1000.00,2026-07-10,2026,PAC contribution,4082520261584683663,https://api.open.fec.gov/v1/schedules/schedule_a/?sub_id=4082520261584683663,HM6941
Abraham J. Hamadeh,R,House,AZ,8,H001098,ARI PAC,ARI PAC,ABE FOR ARIZONA,C00853986,2500.00,2026-03-25,2026,PAC contribution,4050120261498882136,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8620
Adam B. Schiff,D,Senate,CA,,S001150,Eric Schmidt,Eric Schmidt,SCHIFF FOR SENATE,C00343871,3300.00,2024-04-01,2024,individual contribution,4091120251290849297,https://docquery.fec.gov/cgi-bin/fecimg/?202509099789974629,HM3340
Adam B. Schiff,D,Senate,CA,,S001150,Eric Schmidt,Eric Schmidt,SCHIFF FOR SENATE,C00343871,3300.00,2024-04-01,2024,individual contribution,4091120251290810826,https://docquery.fec.gov/cgi-bin/fecimg/?202509099789961805,HM3341
Adam Gray,D,House,CA,13,G000605,Eric Schmidt,Eric Schmidt,ADAM GRAY FOR CONGRESS,C00801431,3300.00,2023-11-21,2024,individual contribution,4051720241949557195,https://docquery.fec.gov/cgi-bin/fecimg/?202405169646027530,HM3394
Adam Gray,D,House,CA,13,G000605,James McClave,James McClave,ADAM GRAY FOR CONGRESS,C00801431,3300.00,2024-09-28,2024,individual contribution,4111320241068370632,https://api.open.fec.gov/v1/schedules/schedule_a/?per_page=100&min_date=2015-01-01&sort=-contribution_receipt_date&contributor_name=McClave%2C+James&contributor_state=NY,HM5210
Adam Gray,D,House,CA,13,G000605,Wendy Schmidt,Wendy Schmidt,ADAM GRAY FOR CONGRESS,C00801431,3500.00,2025-09-10,2026,individual contribution,4012720261303790479,https://docquery.fec.gov/cgi-bin/fecimg/?202601229794125522,HM4413
Adam Gray,D,House,CA,13,G000605,Wendy Schmidt,Wendy Schmidt,ADAM GRAY FOR CONGRESS,C00801431,3500.00,2025-09-10,2026,individual contribution,4012720261303789827,https://docquery.fec.gov/cgi-bin/fecimg/?202601229794125304,HM4414
Adam Gray,D,House,CA,13,G000605,Anthropic employees,Anthropic employee,ADAM GRAY FOR CONGRESS,C00801431,2500.00,2026-01-19,2026,individual contribution,4061120261521178022,https://docquery.fec.gov/cgi-bin/fecimg/?202605219870237129,HM948
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,7000.00,2026-04-17,2026,individual contribution,4081720261581116481,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416195,HM1081
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,7000.00,2026-04-18,2026,individual contribution,4081720261581117158,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416421,HM1088
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,3500.00,2026-04-20,2026,individual contribution,4081720261581115921,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416008,HM1093
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,3500.00,2026-04-20,2026,individual contribution,4081720261581115923,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416009,HM1094
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,3500.00,2026-04-30,2026,individual contribution,4081720261581115954,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416019,HM1117
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,3500.00,2026-04-30,2026,individual contribution,4081720261581115956,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416020,HM1118
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,3500.00,2026-05-03,2026,individual contribution,4081720261581116004,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416036,HM1157
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,1500.00,2026-05-03,2026,individual contribution,4081720261581116006,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416037,HM1158
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,3500.00,2026-05-04,2026,individual contribution,4081720261581116251,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416118,HM1164
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,1500.00,2026-05-04,2026,individual contribution,4081720261581116253,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416119,HM1165
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,1500.00,2026-05-04,2026,individual contribution,4081720261581116308,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416137,HM1166
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,3500.00,2026-05-04,2026,individual contribution,4081720261581116312,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416139,HM1167
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,3500.00,2026-05-04,2026,individual contribution,4081720261581117141,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416415,HM1168
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,1500.00,2026-05-04,2026,individual contribution,4081720261581117143,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416416,HM1169
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,2000.00,2026-05-07,2026,individual contribution,4081720261581116310,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416138,HM1195
Adriano Espaillat,D,House,NY,13,E000297,ARI PAC,ARI PAC,ADRIANO ESPAILLAT FOR CONGRESS,C00701953,1000.00,2026-01-27,2026,PAC contribution,4050120261498882137,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8595
Andrew R. Garbarino,R,House,NY,2,G000597,ARI PAC,ARI PAC,GARBARINO FOR CONGRESS,C00729954,1000.00,2026-05-12,2026,PAC contribution,4061720261521567423,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8652
Andrew R. Garbarino,R,House,NY,2,G000597,Anthropic employees,Anthropic employee,GARBARINO FOR CONGRESS,C00729954,3500.00,2026-06-24,2026,individual contribution,4080420261549231808,https://docquery.fec.gov/cgi-bin/fecimg/?202607159876009688,HM1515
Andrew S. Clyde,R,House,GA,9,C001116,ARI PAC,ARI PAC,"CLYDE FOR CONGRESS, INC.",C00740100,2500.00,2025-08-14,2026,PAC contribution,4022520261359193434,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8524
Andy Harris,R,House,MD,1,H001052,Anthropic employees,Anthropic employee,CHESAPEAKE FREEDOM PAC,C00492819,5000.00,2026-08-10,2026,individual contribution,4091820261598860676,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_employer=ANTHROPIC&two_year_transaction_period=2026,HM19867
Andy Harris,R,House,MD,1,H001052,Anthropic employees,Anthropic employee,CHESAPEAKE FREEDOM PAC,C00492819,5000.00,2026-08-31,2026,individual contribution,4091820261598860673,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_employer=ANTHROPIC&two_year_transaction_period=2026,HM19857
Andy Kim,D,Senate,NJ,,K000394,Schmidt organisations / Hillspire staff,Schmidt organisation / Hillspire staff member,ANDY KIM FOR NEW JERSEY,C00648220,250.00,2023-09-30,2024,individual contribution,4022820241858332933,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_employer=SCHMIDT+FUTURES&two_year_transaction_period=2024&per_page=100&sort=contribution_receipt_date&sub_id=4022820241858332933,HM13754
Andy Kim,D,Senate,NJ,,K000394,Schmidt organisations / Hillspire staff,Schmidt organisation / Hillspire staff member,ANDY KIM FOR NEW JERSEY,C00648220,250.00,2023-11-14,2024,individual contribution,4053020241951379921,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_employer=SCHMIDT+FUTURES&two_year_transaction_period=2024&per_page=100&sort=contribution_receipt_date&sub_id=4053020241951379921,HM13757
Angela D. Alsobrooks,D,Senate,MD,,A000382,Wendy Schmidt,Wendy Schmidt,ALSOBROOKS FOR SENATE,C00840017,3300.00,2024-08-22,2024,individual contribution,4111920241070879259,https://docquery.fec.gov/cgi-bin/fecimg/?202410159689173103,HM4603
Angela D. Alsobrooks,D,Senate,MD,,A000382,James McClave,James McClave,ALSOBROOKS FOR SENATE,C00840017,3300.00,2024-09-30,2024,individual contribution,4111920241070863888,https://api.open.fec.gov/v1/schedules/schedule_a/?per_page=100&min_date=2015-01-01&sort=-contribution_receipt_date&contributor_name=McClave%2C+James&contributor_state=NY,HM5190
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-06-30,2026,individual contribution,4073020261539710938,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890650562,HM1537
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-06-30,2026,individual contribution,4073020261539710940,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890650562,HM1538
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-06-30,2026,individual contribution,4073020261539714298,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890651682,HM1539
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-06-30,2026,individual contribution,4073020261539717562,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890652770,HM1541
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-06-30,2026,individual contribution,4073020261539717564,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890652770,HM1542
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-06-30,2026,individual contribution,4091520261598458954,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_employer=ANTHROPIC%2C+PBC&two_year_transaction_period=2026&per_page=100&sort=contribution_receipt_date&sub_id=4091520261598458954,HM16062
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-01,2026,individual contribution,4081820261583866824,https://docquery.fec.gov/cgi-bin/fecimg/?202607309899250717,HM1543
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-01,2026,individual contribution,4081820261583866826,https://docquery.fec.gov/cgi-bin/fecimg/?202607309899250718,HM1544
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-01,2026,individual contribution,4081820261583867583,https://docquery.fec.gov/cgi-bin/fecimg/?202607309899250970,HM1545
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-01,2026,individual contribution,4081820261583867585,https://docquery.fec.gov/cgi-bin/fecimg/?202607309899250971,HM1546
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,1000.00,2026-07-01,2026,individual contribution,4081820261583871471,https://docquery.fec.gov/cgi-bin/fecimg/?202607309899252266,HM1547
Angie Craig,D,House,MN,2,C001119,Coefficient Giving / Open Philanthropy staff,Coefficient / Open Philanthropy staff member,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-01,2026,individual contribution,4081820261583866412,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_employer=COEFFICIENT+GIVING&two_year_transaction_period=2026&per_page=100&sort=contribution_receipt_date&sub_id=4081820261583866412,HM13181
Angie Craig,D,House,MN,2,C001119,Coefficient Giving / Open Philanthropy staff,Coefficient / Open Philanthropy staff member,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-01,2026,individual contribution,4081820261583866414,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_employer=COEFFICIENT+GIVING&two_year_transaction_period=2026&per_page=100&sort=contribution_receipt_date&sub_id=4081820261583866414,HM13182
