member,party,state,entity_group,amount_usd
Ro Khanna,D,CA,Anthropic employees,27750.00
Ro Khanna,D,CA,other network people,18200.00
Ro Khanna,D,CA,Eric Schmidt,12400.00
Ro Khanna,D,CA,Wendy Schmidt,12400.00
Ro Khanna,D,CA,Schmidt organisations / Hillspire staff,9500.00
Angie Craig,D,MN,Anthropic employees,53500.00
Angie Craig,D,MN,Coefficient Giving / Open Philanthropy staff,14000.00
Mike Rounds,R,SD,Anthropic employees,61600.00
Mike Rounds,R,SD,ARI PAC,2000.00
Mike Rounds,R,SD,ANTHROPAC (Anthropic's PAC),1500.00
Mark R. Warner,D,VA,Anthropic employees,52500.00
Mark R. Warner,D,VA,ARI PAC,7500.00
Mark R. Warner,D,VA,ANTHROPAC (Anthropic's PAC),2500.00
Brian Schatz,D,HI,Anthropic employees,55500.00
Brian Schatz,D,HI,Coefficient Giving / Open Philanthropy staff,1500.00
Brian Schatz,D,HI,ARI PAC,1000.00
Shelley Moore Capito,R,WV,Anthropic employees,54000.00
Patrick Ryan,D,NY,Anthropic employees,30500.00
Patrick Ryan,D,NY,Eric Schmidt,6600.00
Patrick Ryan,D,NY,James McClave,6600.00
Patrick Ryan,D,NY,Emily Berger,6600.00
Patrick Ryan,D,NY,ARI PAC,2500.00
Adam Smith,D,WA,Anthropic employees,50000.00
Jack Reed,D,RI,Anthropic employees,47000.00
Jay Obernolte,R,CA,Anthropic employees,35787.12
Jay Obernolte,R,CA,ANTHROPAC (Anthropic's PAC),3500.00
Jay Obernolte,R,CA,ARI PAC,3500.00
Raja Krishnamoorthi,D,IL,Anthropic employees,35000.00
Raja Krishnamoorthi,D,IL,Coefficient Giving / Open Philanthropy staff,7000.00
Ted Lieu,D,CA,Anthropic employees,42000.00
Chris Pappas,D,NH,Anthropic employees,32500.00
Chris Pappas,D,NH,Wendy Schmidt,3500.00
Chris Pappas,D,NH,Eric Schmidt,3300.00
Jim Banks,R,IN,Anthropic employees,38500.00
"Donald S. Beyer, Jr.",D,VA,Anthropic employees,35000.00
"Donald S. Beyer, Jr.",D,VA,ARI PAC,1000.00
Celeste Maloy,R,UT,Anthropic employees,35000.00
Brian J. Mast,R,FL,Anthropic employees,26000.00
Brian J. Mast,R,FL,other network people,3000.00
